"name","label","path.id","path.name"
"N-mmu03320-44","Fabp1","mmu03320","PPAR signaling pathway"
"N-mmu03320-36","Slc27a1","mmu03320","PPAR signaling pathway"
"N-mmu03320-30","Lpl","mmu03320","PPAR signaling pathway"
"N-mmu03320-28","Acsl1","mmu03320","PPAR signaling pathway"
"N-mmu03320-25","Ehhadh","mmu03320","PPAR signaling pathway"
"N-mmu03320-24","Cyp4a32","mmu03320","PPAR signaling pathway"
"N-mmu03320-21","Acaa1a","mmu03320","PPAR signaling pathway"
"N-mmu03320-20","Scp2","mmu03320","PPAR signaling pathway"
"N-mmu03320-42","Acox1","mmu03320","PPAR signaling pathway"
"N-mmu03320-27","Cpt1a","mmu03320","PPAR signaling pathway"
"N-mmu03320-26","Cpt2","mmu03320","PPAR signaling pathway"
"N-mmu03320-22","Acadm","mmu03320","PPAR signaling pathway"
"N-mmu03320-41","Angptl4","mmu03320","PPAR signaling pathway"
"N-mmu03320-66","Ucp1","mmu03320","PPAR signaling pathway"
"N-mmu03320-32","Fabp3","mmu03320","PPAR signaling pathway"
"N-mmu03320-23","Acadl","mmu03320","PPAR signaling pathway"
"N-mmu03320-43","Ilk","mmu03320","PPAR signaling pathway"
"N-mmu03320-45","Pdpk1","mmu03320","PPAR signaling pathway"
"N-mmu03320-62","Ubc","mmu03320","PPAR signaling pathway"
"N-mmu03320-60","Cyp27a1","mmu03320","PPAR signaling pathway"
"N-mmu03320-31","Cd36","mmu03320","PPAR signaling pathway"
"N-mmu03320-29","Olr1","mmu03320","PPAR signaling pathway"
"N-mmu03320-10","Plin1","mmu03320","PPAR signaling pathway"
"N-mmu03320-40","Fabp4","mmu03320","PPAR signaling pathway"
"N-mmu03320-53","Adipoq","mmu03320","PPAR signaling pathway"
"N-mmu03320-38","Sorbs1","mmu03320","PPAR signaling pathway"
"N-mmu03320-39","Mmp1a","mmu03320","PPAR signaling pathway"
"N-mmu03320-9","Pck1","mmu03320","PPAR signaling pathway"
"N-mmu03320-7","Aqp7","mmu03320","PPAR signaling pathway"
"N-mmu03320-8","Gk2","mmu03320","PPAR signaling pathway"
"N-mmu03460-6","Fancd2","mmu03460","Fanconi anemia pathway"
"N-mmu03460-21","Atr","mmu03460","Fanconi anemia pathway"
"N-mmu03460-24","Brca2","mmu03460","Fanconi anemia pathway"
"N-mmu03460-29","Fan1","mmu03460","Fanconi anemia pathway"
"N-mmu03460-20 21","Atrip Atr","mmu03460","Fanconi anemia pathway"
"N-mmu03460-30 31","Usp1 Wdr48","mmu03460","Fanconi anemia pathway"
"N-mmu03460-23 49","Telo2 Faap24","mmu03460","Fanconi anemia pathway"
"N-mmu03460-26 12 24","Brip1 Palb2 Brca2","mmu03460","Fanconi anemia pathway"
"N-mmu03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19","Fancm Fancg Fancl Faap100 Fanca Fancb Ube2t Stra13 Fancc Faap24 Hes1 Fance Fancf Blm Rmi1 Rmi2 Top3a","mmu03460","Fanconi anemia pathway"
"N-mmu03460-27","Brca1","mmu03460","Fanconi anemia pathway"
"N-mmu03460-48","Rad51","mmu03460","Fanconi anemia pathway"
"N-mmu03460-25 40","Mlh1 Pms2","mmu03460","Fanconi anemia pathway"
"N-mmu03460-7","Fanci","mmu03460","Fanconi anemia pathway"
"N-mmu03460-16 49","Fancm Faap24","mmu03460","Fanconi anemia pathway"
"N-mmu03460-16 34","Fancm Stra13","mmu03460","Fanconi anemia pathway"
"N-mmu03460-28","Rad51c","mmu03460","Fanconi anemia pathway"
"N-mmu04010-1","Lipopolysaccharide","mmu04010","MAPK signaling pathway"
"N-mmu04010-2","Rasgrf1","mmu04010","MAPK signaling pathway"
"N-mmu04010-3","Dusp2","mmu04010","MAPK signaling pathway"
"N-mmu04010-4","Ptpn5","mmu04010","MAPK signaling pathway"
"N-mmu04010-5","Ppm1b","mmu04010","MAPK signaling pathway"
"N-mmu04010-6","Fasl","mmu04010","MAPK signaling pathway"
"N-mmu04010-7","Diacylglycerol","mmu04010","MAPK signaling pathway"
"N-mmu04010-8","3,5-Cyclic AMP","mmu04010","MAPK signaling pathway"
"N-mmu04010-11","Map4k4","mmu04010","MAPK signaling pathway"
"N-mmu04010-16","Chuk","mmu04010","MAPK signaling pathway"
"N-mmu04010-17","Map3k14","mmu04010","MAPK signaling pathway"
"N-mmu04010-18","Mapk1","mmu04010","MAPK signaling pathway"
"N-mmu04010-22","Mos","mmu04010","MAPK signaling pathway"
"N-mmu04010-23","Raf1","mmu04010","MAPK signaling pathway"
"N-mmu04010-24","Braf","mmu04010","MAPK signaling pathway"
"N-mmu04010-25","Rasa1","mmu04010","MAPK signaling pathway"
"N-mmu04010-26","Nf1","mmu04010","MAPK signaling pathway"
"N-mmu04010-27","Prkca","mmu04010","MAPK signaling pathway"
"N-mmu04010-28","Rap1a","mmu04010","MAPK signaling pathway"
"N-mmu04010-29","Prkaca","mmu04010","MAPK signaling pathway"
"N-mmu04010-30","Rapgef2","mmu04010","MAPK signaling pathway"
"N-mmu04010-31","Rasa2","mmu04010","MAPK signaling pathway"
"N-mmu04010-32","Hras","mmu04010","MAPK signaling pathway"
"N-mmu04010-33","Rasgrp2","mmu04010","MAPK signaling pathway"
"N-mmu04010-35","Gm5741","mmu04010","MAPK signaling pathway"
"N-mmu04010-41","Cacna1a","mmu04010","MAPK signaling pathway"
"N-mmu04010-42","Pdgfa","mmu04010","MAPK signaling pathway"
"N-mmu04010-43","Fgf1","mmu04010","MAPK signaling pathway"
"N-mmu04010-44","Egf","mmu04010","MAPK signaling pathway"
"N-mmu04010-45","Ntf3","mmu04010","MAPK signaling pathway"
"N-mmu04010-46","Bdnf","mmu04010","MAPK signaling pathway"
"N-mmu04010-47","Ngf","mmu04010","MAPK signaling pathway"
"N-mmu04010-55","Mapk7","mmu04010","MAPK signaling pathway"
"N-mmu04010-56","Map2k5","mmu04010","MAPK signaling pathway"
"N-mmu04010-59","Rps6ka4","mmu04010","MAPK signaling pathway"
"N-mmu04010-60","Mapkapk3","mmu04010","MAPK signaling pathway"
"N-mmu04010-69","Mapk11","mmu04010","MAPK signaling pathway"
"N-mmu04010-70","Ppp5c","mmu04010","MAPK signaling pathway"
"N-mmu04010-71","Map2k6","mmu04010","MAPK signaling pathway"
"N-mmu04010-72","Map2k3","mmu04010","MAPK signaling pathway"
"N-mmu04010-73","Dusp2*","mmu04010","MAPK signaling pathway"
"N-mmu04010-74","Ptpn5*","mmu04010","MAPK signaling pathway"
"N-mmu04010-75","Ppm1a","mmu04010","MAPK signaling pathway"
"N-mmu04010-76","Akt1","mmu04010","MAPK signaling pathway"
"N-mmu04010-80","Map3k7","mmu04010","MAPK signaling pathway"
"N-mmu04010-81","Map3k5","mmu04010","MAPK signaling pathway"
"N-mmu04010-82","Map3k6","mmu04010","MAPK signaling pathway"
"N-mmu04010-83","Zak","mmu04010","MAPK signaling pathway"
"N-mmu04010-84","Map3k12","mmu04010","MAPK signaling pathway"
"N-mmu04010-85","Map3k13","mmu04010","MAPK signaling pathway"
"N-mmu04010-90","Tab1","mmu04010","MAPK signaling pathway"
"N-mmu04010-91","Gadd45a","mmu04010","MAPK signaling pathway"
"N-mmu04010-93","Daxx","mmu04010","MAPK signaling pathway"
"N-mmu04010-94","Traf2","mmu04010","MAPK signaling pathway"
"N-mmu04010-95","Casp3","mmu04010","MAPK signaling pathway"
"N-mmu04010-96","Cd14","mmu04010","MAPK signaling pathway"
"N-mmu04010-97","Tgfbr1","mmu04010","MAPK signaling pathway"
"N-mmu04010-98","Fas","mmu04010","MAPK signaling pathway"
"N-mmu04010-99","Il1r1","mmu04010","MAPK signaling pathway"
"N-mmu04010-100","Tnfrsf1a","mmu04010","MAPK signaling pathway"
"N-mmu04010-101","Tgfb1","mmu04010","MAPK signaling pathway"
"N-mmu04010-102","Il1a","mmu04010","MAPK signaling pathway"
"N-mmu04010-103","Tnf","mmu04010","MAPK signaling pathway"
"N-mmu04010-104","Mapkapk5","mmu04010","MAPK signaling pathway"
"N-mmu04010-105","Cdc42","mmu04010","MAPK signaling pathway"
"N-mmu04010-106","Pak1","mmu04010","MAPK signaling pathway"
"N-mmu04010-110","Map2k7","mmu04010","MAPK signaling pathway"
"N-mmu04010-111","Mapk10","mmu04010","MAPK signaling pathway"
"N-mmu04010-115","Mecom","mmu04010","MAPK signaling pathway"
"N-mmu04010-116","Hspa8","mmu04010","MAPK signaling pathway"
"N-mmu04010-121","Ppp3ca","mmu04010","MAPK signaling pathway"
"N-mmu04010-126","Map3k8","mmu04010","MAPK signaling pathway"
"N-mmu04010-128","Map4k3","mmu04010","MAPK signaling pathway"
"N-mmu04010-135","Rps6ka3","mmu04010","MAPK signaling pathway"
"N-mmu04010-136","Mknk1","mmu04010","MAPK signaling pathway"
"N-mmu04010-130 132 133","Srf Elk4 Elk1","mmu04010","MAPK signaling pathway"
"N-mmu04010-19 21","Lamtor3 Map2k1","mmu04010","MAPK signaling pathway"
"N-mmu04010-19 20","Lamtor3 Map2k2","mmu04010","MAPK signaling pathway"
"N-mmu04010-34 36","Sos1 Grb2","mmu04010","MAPK signaling pathway"
"N-mmu04010-89 92","Tab2 Traf6","mmu04010","MAPK signaling pathway"
"N-mmu04010-108 127","Mapk8ip1 Map4k1","mmu04010","MAPK signaling pathway"
"N-mmu04010-109 123","Map3k11 Mapk8ip3","mmu04010","MAPK signaling pathway"
"N-mmu04010-112 113","Map2k4 Crk","mmu04010","MAPK signaling pathway"
"N-mmu04010-112 124","Map2k4 Flna","mmu04010","MAPK signaling pathway"
"N-mmu04010-112 114","Map2k4 Arrb1","mmu04010","MAPK signaling pathway"
"N-mmu04010-123 125","Mapk8ip3 Map3k1","mmu04010","MAPK signaling pathway"
"N-mmu04010-15","Nfkb1","mmu04010","MAPK signaling pathway"
"N-mmu04010-14","Mapt","mmu04010","MAPK signaling pathway"
"N-mmu04010-13","Stmn1","mmu04010","MAPK signaling pathway"
"N-mmu04010-12","Pla2g4a","mmu04010","MAPK signaling pathway"
"N-mmu04010-131","Myc","mmu04010","MAPK signaling pathway"
"N-mmu04010-36 37","Grb2 Pdgfra","mmu04010","MAPK signaling pathway"
"N-mmu04010-36 38","Grb2 Fgfr1","mmu04010","MAPK signaling pathway"
"N-mmu04010-36 39","Grb2 Egfr","mmu04010","MAPK signaling pathway"
"N-mmu04010-36 40","Grb2 Ntrk1","mmu04010","MAPK signaling pathway"
"N-mmu04010-54","Nr4a1","mmu04010","MAPK signaling pathway"
"N-mmu04010-61","Atf4","mmu04010","MAPK signaling pathway"
"N-mmu04010-79","Hspb1","mmu04010","MAPK signaling pathway"
"N-mmu04010-68","Atf2","mmu04010","MAPK signaling pathway"
"N-mmu04010-67","Elk1","mmu04010","MAPK signaling pathway"
"N-mmu04010-66","Trp53","mmu04010","MAPK signaling pathway"
"N-mmu04010-65","Elk4","mmu04010","MAPK signaling pathway"
"N-mmu04010-64","Ddit3","mmu04010","MAPK signaling pathway"
"N-mmu04010-63","Max","mmu04010","MAPK signaling pathway"
"N-mmu04010-62","Mef2c","mmu04010","MAPK signaling pathway"
"N-mmu04010-58","Cdc25b","mmu04010","MAPK signaling pathway"
"N-mmu04010-57","Nlk","mmu04010","MAPK signaling pathway"
"N-mmu04010-78","Map3k4","mmu04010","MAPK signaling pathway"
"N-mmu04010-86","Map4k2","mmu04010","MAPK signaling pathway"
"N-mmu04010-87","Stk3","mmu04010","MAPK signaling pathway"
"N-mmu04010-88 92","Ecsit Traf6","mmu04010","MAPK signaling pathway"
"N-mmu04010-107","Map3k2","mmu04010","MAPK signaling pathway"
"N-mmu04010-118","Jun","mmu04010","MAPK signaling pathway"
"N-mmu04010-117","Jund","mmu04010","MAPK signaling pathway"
"N-mmu04010-120","Nfatc1","mmu04010","MAPK signaling pathway"
"N-mmu04010-119","Nfatc3","mmu04010","MAPK signaling pathway"
"N-mmu04010-134","Atf4*","mmu04010","MAPK signaling pathway"
"N-mmu04010-129","Fos","mmu04010","MAPK signaling pathway"
"N-mmu04012-2","Grb2","mmu04012","ErbB signaling pathway"
"N-mmu04012-4","Erbb4","mmu04012","ErbB signaling pathway"
"N-mmu04012-6","Erbb3","mmu04012","ErbB signaling pathway"
"N-mmu04012-13","Egfr","mmu04012","ErbB signaling pathway"
"N-mmu04012-26","Mtor","mmu04012","ErbB signaling pathway"
"N-mmu04012-27","Pak1","mmu04012","ErbB signaling pathway"
"N-mmu04012-28","Nck1","mmu04012","ErbB signaling pathway"
"N-mmu04012-32","Gab1","mmu04012","ErbB signaling pathway"
"N-mmu04012-33","Tgfa","mmu04012","ErbB signaling pathway"
"N-mmu04012-34","Map2k4","mmu04012","ErbB signaling pathway"
"N-mmu04012-38","Nrg3","mmu04012","ErbB signaling pathway"
"N-mmu04012-39","Nrg2","mmu04012","ErbB signaling pathway"
"N-mmu04012-41","Mapk10","mmu04012","ErbB signaling pathway"
"N-mmu04012-42","Crk","mmu04012","ErbB signaling pathway"
"N-mmu04012-44","Sos1","mmu04012","ErbB signaling pathway"
"N-mmu04012-45","Grb2*","mmu04012","ErbB signaling pathway"
"N-mmu04012-46","Shc1","mmu04012","ErbB signaling pathway"
"N-mmu04012-49","Plcg1","mmu04012","ErbB signaling pathway"
"N-mmu04012-50","Hbegf","mmu04012","ErbB signaling pathway"
"N-mmu04012-51","Nrg1","mmu04012","ErbB signaling pathway"
"N-mmu04012-52","Ereg","mmu04012","ErbB signaling pathway"
"N-mmu04012-53","Btc","mmu04012","ErbB signaling pathway"
"N-mmu04012-58","Pik3ca","mmu04012","ErbB signaling pathway"
"N-mmu04012-59","Akt1","mmu04012","ErbB signaling pathway"
"N-mmu04012-60","Egfr*","mmu04012","ErbB signaling pathway"
"N-mmu04012-63","Src","mmu04012","ErbB signaling pathway"
"N-mmu04012-64","Nrg4","mmu04012","ErbB signaling pathway"
"N-mmu04012-66","Areg","mmu04012","ErbB signaling pathway"
"N-mmu04012-67","Egf","mmu04012","ErbB signaling pathway"
"N-mmu04012-70","Mapk1","mmu04012","ErbB signaling pathway"
"N-mmu04012-71","Map2k1","mmu04012","ErbB signaling pathway"
"N-mmu04012-72","Braf","mmu04012","ErbB signaling pathway"
"N-mmu04012-73","Hras","mmu04012","ErbB signaling pathway"
"N-mmu04012-14 60","Egfr Egfr","mmu04012","ErbB signaling pathway"
"N-mmu04012-36 5","Erbb4 Erbb4","mmu04012","ErbB signaling pathway"
"N-mmu04012-11 12","Erbb2 Erbb2","mmu04012","ErbB signaling pathway"
"N-mmu04012-10 6","Erbb2 Erbb3","mmu04012","ErbB signaling pathway"
"N-mmu04012-4 9","Erbb4 Erbb2","mmu04012","ErbB signaling pathway"
"N-mmu04012-8","Stat5a","mmu04012","ErbB signaling pathway"
"N-mmu04012-29","Stat5a*","mmu04012","ErbB signaling pathway"
"N-mmu04012-23","Rps6kb2","mmu04012","ErbB signaling pathway"
"N-mmu04012-22","Eif4ebp1","mmu04012","ErbB signaling pathway"
"N-mmu04012-37 7","Erbb3 Erbb3","mmu04012","ErbB signaling pathway"
"N-mmu04012-56","Jun","mmu04012","ErbB signaling pathway"
"N-mmu04012-40","Elk1*","mmu04012","ErbB signaling pathway"
"N-mmu04012-57","Abl1","mmu04012","ErbB signaling pathway"
"N-mmu04012-48","Camk2d","mmu04012","ErbB signaling pathway"
"N-mmu04012-47","Prkca","mmu04012","ErbB signaling pathway"
"N-mmu04012-31","Bad","mmu04012","ErbB signaling pathway"
"N-mmu04012-21","Gsk3b","mmu04012","ErbB signaling pathway"
"N-mmu04012-25","Cdkn1b","mmu04012","ErbB signaling pathway"
"N-mmu04012-24","Cdkn1a","mmu04012","ErbB signaling pathway"
"N-mmu04012-43","Ptk2","mmu04012","ErbB signaling pathway"
"N-mmu04012-65","Myc","mmu04012","ErbB signaling pathway"
"N-mmu04012-3","Elk1","mmu04012","ErbB signaling pathway"
"N-mmu04012-35","Cbl","mmu04012","ErbB signaling pathway"
"N-mmu04014-3","Mapk1","mmu04014","Ras signaling pathway"
"N-mmu04014-4","Map2k1","mmu04014","Ras signaling pathway"
"N-mmu04014-5","Raf1","mmu04014","Ras signaling pathway"
"N-mmu04014-9","Sos1","mmu04014","Ras signaling pathway"
"N-mmu04014-10","Phosphatidylinositol-3,4,5-trisphosphate","mmu04014","Ras signaling pathway"
"N-mmu04014-11","Akt1","mmu04014","Ras signaling pathway"
"N-mmu04014-12","Pik3ca","mmu04014","Ras signaling pathway"
"N-mmu04014-14","Angpt1","mmu04014","Ras signaling pathway"
"N-mmu04014-15","Csf1r","mmu04014","Ras signaling pathway"
"N-mmu04014-18","Tiam1","mmu04014","Ras signaling pathway"
"N-mmu04014-19","Rac3","mmu04014","Ras signaling pathway"
"N-mmu04014-20","Ralgds","mmu04014","Ras signaling pathway"
"N-mmu04014-21","Rgl1","mmu04014","Ras signaling pathway"
"N-mmu04014-22","Rgl2","mmu04014","Ras signaling pathway"
"N-mmu04014-23","Rala","mmu04014","Ras signaling pathway"
"N-mmu04014-25","Plce1","mmu04014","Ras signaling pathway"
"N-mmu04014-28","Rin1","mmu04014","Ras signaling pathway"
"N-mmu04014-29","Diacylglycerol","mmu04014","Ras signaling pathway"
"N-mmu04014-32","Bad","mmu04014","Ras signaling pathway"
"N-mmu04014-34","Chuk","mmu04014","Ras signaling pathway"
"N-mmu04014-36","Foxo4","mmu04014","Ras signaling pathway"
"N-mmu04014-39","Ralbp1","mmu04014","Ras signaling pathway"
"N-mmu04014-40","Cdc42","mmu04014","Ras signaling pathway"
"N-mmu04014-50","Rasgrp2","mmu04014","Ras signaling pathway"
"N-mmu04014-51","Rasgrf1","mmu04014","Ras signaling pathway"
"N-mmu04014-52","Rasa2","mmu04014","Ras signaling pathway"
"N-mmu04014-53","Nf1","mmu04014","Ras signaling pathway"
"N-mmu04014-60","Rapgef5","mmu04014","Ras signaling pathway"
"N-mmu04014-71","Hras","mmu04014","Ras signaling pathway"
"N-mmu04014-72","Mras","mmu04014","Ras signaling pathway"
"N-mmu04014-75","Rras","mmu04014","Ras signaling pathway"
"N-mmu04014-77","Ralbp1**","mmu04014","Ras signaling pathway"
"N-mmu04014-78","Arf6","mmu04014","Ras signaling pathway"
"N-mmu04014-80","Sos1*","mmu04014","Ras signaling pathway"
"N-mmu04014-81","Rasgrf1*","mmu04014","Ras signaling pathway"
"N-mmu04014-82","Rasgrp2*","mmu04014","Ras signaling pathway"
"N-mmu04014-84","Calm1","mmu04014","Ras signaling pathway"
"N-mmu04014-85","Gm15776","mmu04014","Ras signaling pathway"
"N-mmu04014-86","Calcium cation","mmu04014","Ras signaling pathway"
"N-mmu04014-87","Htr7","mmu04014","Ras signaling pathway"
"N-mmu04014-88","Plcg1","mmu04014","Ras signaling pathway"
"N-mmu04014-89","Diacylglycerol*","mmu04014","Ras signaling pathway"
"N-mmu04014-94","Zap70","mmu04014","Ras signaling pathway"
"N-mmu04014-95","Lat","mmu04014","Ras signaling pathway"
"N-mmu04014-98","Exoc2","mmu04014","Ras signaling pathway"
"N-mmu04014-99","Tbk1","mmu04014","Ras signaling pathway"
"N-mmu04014-102","Brap","mmu04014","Ras signaling pathway"
"N-mmu04014-105","3,5-Cyclic AMP","mmu04014","Ras signaling pathway"
"N-mmu04014-106","Prkaca","mmu04014","Ras signaling pathway"
"N-mmu04014-6 48","Hras GTP","mmu04014","Ras signaling pathway"
"N-mmu04014-6 107","Hras Shoc2","mmu04014","Ras signaling pathway"
"N-mmu04014-8 16","Grb2 Gab1","mmu04014","Ras signaling pathway"
"N-mmu04014-8 17","Grb2 Ptpn11","mmu04014","Ras signaling pathway"
"N-mmu04014-8 13","Grb2 Shc1","mmu04014","Ras signaling pathway"
"N-mmu04014-56 57","Rassf5 Rassf1","mmu04014","Ras signaling pathway"
"N-mmu04014-42","Pla2g1b","mmu04014","Ras signaling pathway"
"N-mmu04014-43","Elk1","mmu04014","Ras signaling pathway"
"N-mmu04014-44","Ets1","mmu04014","Ras signaling pathway"
"N-mmu04014-97","Pak1","mmu04014","Ras signaling pathway"
"N-mmu04014-54","Rhoa","mmu04014","Ras signaling pathway"
"N-mmu04014-38","Mapk10","mmu04014","Ras signaling pathway"
"N-mmu04014-24","Pld1","mmu04014","Ras signaling pathway"
"N-mmu04014-30","D-myo-Inositol 1,4,5-trisphosphate","mmu04014","Ras signaling pathway"
"N-mmu04014-27","Abl1","mmu04014","Ras signaling pathway"
"N-mmu04014-45","Rab5b","mmu04014","Ras signaling pathway"
"N-mmu04014-26","Prkca","mmu04014","Ras signaling pathway"
"N-mmu04014-33","Bcl2l1","mmu04014","Ras signaling pathway"
"N-mmu04014-35","Nfkb1","mmu04014","Ras signaling pathway"
"N-mmu04014-37","Fasl","mmu04014","Ras signaling pathway"
"N-mmu04014-41","Rac3*","mmu04014","Ras signaling pathway"
"N-mmu04014-61","Rap1a","mmu04014","Ras signaling pathway"
"N-mmu04014-62","Rassf5","mmu04014","Ras signaling pathway"
"N-mmu04014-63","Tiam1*","mmu04014","Ras signaling pathway"
"N-mmu04014-64","Pik3ca*","mmu04014","Ras signaling pathway"
"N-mmu04014-65","Mllt4*","mmu04014","Ras signaling pathway"
"N-mmu04014-66","Raf1*","mmu04014","Ras signaling pathway"
"N-mmu04014-104","Brap*","mmu04014","Ras signaling pathway"
"N-mmu04014-68","Ralgds*","mmu04014","Ras signaling pathway"
"N-mmu04014-69","Plce1*","mmu04014","Ras signaling pathway"
"N-mmu04014-70","Rin1*","mmu04014","Ras signaling pathway"
"N-mmu04014-67","Rapgef5*","mmu04014","Ras signaling pathway"
"N-mmu04014-76","Ralbp1*","mmu04014","Ras signaling pathway"
"N-mmu04014-79","Rac1","mmu04014","Ras signaling pathway"
"N-mmu04014-100","Rel","mmu04014","Ras signaling pathway"
"N-mmu04014-103","Ksr1","mmu04014","Ras signaling pathway"
"N-mmu04014-55","Mllt4","mmu04014","Ras signaling pathway"
"N-mmu04014-58 59","Stk4 Stk4","mmu04014","Ras signaling pathway"
"N-mmu04015-4","Map2k1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-5","Raf1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-7","Apbb1ip","mmu04015","Rap1 signaling pathway"
"N-mmu04015-8","Angpt1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-9","Csf1r","mmu04015","Rap1 signaling pathway"
"N-mmu04015-10","Ralgds","mmu04015","Rap1 signaling pathway"
"N-mmu04015-12","Rassf5","mmu04015","Rap1 signaling pathway"
"N-mmu04015-13","Map2k3","mmu04015","Rap1 signaling pathway"
"N-mmu04015-15","Vasp","mmu04015","Rap1 signaling pathway"
"N-mmu04015-16","Pfn1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-22","Dock4","mmu04015","Rap1 signaling pathway"
"N-mmu04015-23","Rapgef3","mmu04015","Rap1 signaling pathway"
"N-mmu04015-24","Sipa1l1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-25","Sipa1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-26","Rap1gap","mmu04015","Rap1 signaling pathway"
"N-mmu04015-28","Mllt4","mmu04015","Rap1 signaling pathway"
"N-mmu04015-29","Braf","mmu04015","Rap1 signaling pathway"
"N-mmu04015-32","Adora2a","mmu04015","Rap1 signaling pathway"
"N-mmu04015-33","Gnas","mmu04015","Rap1 signaling pathway"
"N-mmu04015-34","Gnaq","mmu04015","Rap1 signaling pathway"
"N-mmu04015-35","Plcb1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-36","Crk","mmu04015","Rap1 signaling pathway"
"N-mmu04015-37","Cdh1*","mmu04015","Rap1 signaling pathway"
"N-mmu04015-38","Rapgef1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-39","3,5-Cyclic AMP","mmu04015","Rap1 signaling pathway"
"N-mmu04015-40","Diacylglycerol","mmu04015","Rap1 signaling pathway"
"N-mmu04015-41","Calcium cation","mmu04015","Rap1 signaling pathway"
"N-mmu04015-42","Ctnnb1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-43","Magi1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-44","Rapgef6","mmu04015","Rap1 signaling pathway"
"N-mmu04015-46","Tiam1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-47","Rac3*","mmu04015","Rap1 signaling pathway"
"N-mmu04015-49","Arap3","mmu04015","Rap1 signaling pathway"
"N-mmu04015-50","Rhoa","mmu04015","Rap1 signaling pathway"
"N-mmu04015-52","Krit1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-55","Cdc42","mmu04015","Rap1 signaling pathway"
"N-mmu04015-56","Mras","mmu04015","Rap1 signaling pathway"
"N-mmu04015-57","Rapgef5","mmu04015","Rap1 signaling pathway"
"N-mmu04015-59","Rasgrp3","mmu04015","Rap1 signaling pathway"
"N-mmu04015-60","Rasgrp2","mmu04015","Rap1 signaling pathway"
"N-mmu04015-61","Adcy4","mmu04015","Rap1 signaling pathway"
"N-mmu04015-62","Cnr1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-66","Pik3ca","mmu04015","Rap1 signaling pathway"
"N-mmu04015-69","Sipa1l2","mmu04015","Rap1 signaling pathway"
"N-mmu04015-73","Ctnnd1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-74","Ctnnb1*","mmu04015","Rap1 signaling pathway"
"N-mmu04015-81","Tln1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-87","Prkca","mmu04015","Rap1 signaling pathway"
"N-mmu04015-88","Prkd2","mmu04015","Rap1 signaling pathway"
"N-mmu04015-89","Lat","mmu04015","Rap1 signaling pathway"
"N-mmu04015-90","Plcg1","mmu04015","Rap1 signaling pathway"
"N-mmu04015-91","Diacylglycerol*","mmu04015","Rap1 signaling pathway"
