,pathway_id,pathway_name,edit
69,mmu00730,Thiamine_metabolism,1.0
70,mmu00740,Riboflavin_metabolism,1.0
71,mmu00750,Vitamin_B6_metabolism,1.0
72,mmu00760,Nicotinate_and_nicotinamide_metabolism,1.0
73,mmu00770,Pantothenate_and_CoA_biosynthesis,1.0
74,mmu00780,Biotin_metabolism,1.0
75,mmu00785,Lipoic_acid_metabolism,1.0
76,mmu00790,Folate_biosynthesis,1.0
77,mmu00830,Retinol_metabolism,1.0
78,mmu00860,Porphyrin_and_chlorophyll_metabolism,1.0
79,mmu00900,Terpenoid_backbone_biosynthesis,1.0
80,mmu00910,Nitrogen_metabolism,1.0
81,mmu00920,Sulfur_metabolism,1.0
82,mmu00970,Aminoacyl-tRNA_biosynthesis,1.0
83,mmu00980,Metabolism_of_xenobiotics_by_cytochrome_P450,1.0
84,mmu00982,Drug_metabolism,1.0
85,mmu00983,Drug_metabolism,1.0
86,mmu01040,Biosynthesis_of_unsaturated_fatty_acids,1.0
87,mmu01100,Metabolic_pathways,0.0
88,mmu01200,Carbon_metabolism,1.0
89,mmu01210,2-Oxocarboxylic_acid_metabolism,1.0
90,mmu01212,Fatty_acid_metabolism,1.0
91,mmu01230,Biosynthesis_of_amino_acids,1.0
92,mmu01521,EGFR_tyrosine_kinase_inhibitor_resistance,1.0
93,mmu01522,Endocrine_resistance,1.0
94,mmu01523,Antifolate_resistance,1.0
95,mmu01524,Platinum_drug_resistance,1.0
96,mmu02010,ABC_transporters,1.0
97,mmu03008,Ribosome_biogenesis_in_eukaryotes,1.0
98,mmu03010,Ribosome,1.0
99,mmu03013,RNA_transport,1.0
100,mmu03015,mRNA_surveillance_pathway,1.0
101,mmu03018,RNA_degradation,1.0
102,mmu03020,RNA_polymerase,1.0
103,mmu03022,Basal_transcription_factors,1.0
104,mmu03030,DNA_replication,1.0
105,mmu03040,Spliceosome,1.0
106,mmu03050,Proteasome,1.0
107,mmu03060,Protein_export,1.0
108,mmu03320,PPAR_signaling_pathway,1.0
109,mmu03410,Base_excision_repair,1.0
110,mmu03420,Nucleotide_excision_repair,1.0
111,mmu03430,Mismatch_repair,1.0
112,mmu03440,Homologous_recombination,1.0
113,mmu03450,Non-homologous_end-joining,1.0
114,mmu03460,Fanconi_anemia_pathway,0.0
115,mmu04010,MAPK_signaling_pathway,1.0
116,mmu04012,ErbB_signaling_pathway,1.0
117,mmu04014,Ras_signaling_pathway,1.0
118,mmu04015,Rap1_signaling_pathway,1.0
119,mmu04020,Calcium_signaling_pathway,1.0
120,mmu04022,cGMP-PKG_signaling_pathway,1.0
121,mmu04024,cAMP_signaling_pathway,1.0
122,mmu04060,Cytokine-cytokine_receptor_interaction,1.0
123,mmu04061,Viral_protein_interaction_with_cytokine_and_cytokine_receptor,1.0
124,mmu04062,Chemokine_signaling_pathway,1.0
125,mmu04064,NF-kappa_B_signaling_pathway,1.0
126,mmu04066,HIF-1_signaling_pathway,1.0
127,mmu04068,FoxO_signaling_pathway,1.0
128,mmu04070,Phosphatidylinositol_signaling_system,1.0
129,mmu04071,Sphingolipid_signaling_pathway,1.0
130,mmu04072,Phospholipase_D_signaling_pathway,1.0
131,mmu04080,Neuroactive_ligand-receptor_interaction,1.0
132,mmu04110,Cell_cycle,1.0
133,mmu04114,Oocyte_meiosis,1.0
134,mmu04115,p53_signaling_pathway,1.0
135,mmu04120,Ubiquitin_mediated_proteolysis,1.0
136,mmu04122,Sulfur_relay_system,1.0
137,mmu04130,SNARE_interactions_in_vesicular_transport,1.0
138,mmu04136,Autophagy,1.0
139,mmu04137,Mitophagy,1.0
140,mmu04140,Autophagy,1.0
141,mmu04141,Protein_processing_in_endoplasmic_reticulum,1.0
142,mmu04142,Lysosome,1.0
143,mmu04144,Endocytosis,1.0
144,mmu04145,Phagosome,1.0
145,mmu04146,Peroxisome,1.0
146,mmu04150,mTOR_signaling_pathway,1.0
147,mmu04151,PI3K-Akt_signaling_pathway,1.0
148,mmu04152,AMPK_signaling_pathway,1.0
149,mmu04210,Apoptosis,1.0
150,mmu04211,Longevity_regulating_pathway,1.0
151,mmu04213,Longevity_regulating_pathway,1.0
152,mmu04215,Apoptosis,1.0
153,mmu04216,Ferroptosis,1.0
154,mmu04217,Necroptosis,1.0
155,mmu04218,Cellular_senescence,1.0
156,mmu04260,Cardiac_muscle_contraction,1.0
157,mmu04261,Adrenergic_signaling_in_cardiomyocytes,1.0
158,mmu04270,Vascular_smooth_muscle_contraction,1.0
159,mmu04310,Wnt_signaling_pathway,1.0
160,mmu04330,Notch_signaling_pathway,1.0
161,mmu04340,Hedgehog_signaling_pathway,1.0
162,mmu04350,TGF-beta_signaling_pathway,1.0
163,mmu04360,Axon_guidance,1.0
164,mmu04370,VEGF_signaling_pathway,1.0
165,mmu04371,Apelin_signaling_pathway,1.0
166,mmu04380,Osteoclast_differentiation,1.0
167,mmu04390,Hippo_signaling_pathway,1.0
168,mmu04392,Hippo_signaling_pathway,1.0
169,mmu04510,Focal_adhesion,1.0
170,mmu04512,ECM-receptor_interaction,1.0
171,mmu04514,Cell_adhesion_molecules_(CAMs),1.0
172,mmu04520,Adherens_junction,1.0
173,mmu04530,Tight_junction,1.0
174,mmu04540,Gap_junction,1.0
175,mmu04550,Signaling_pathways_regulating_pluripotency_of_stem_cells,1.0
176,mmu04610,Complement_and_coagulation_cascades,1.0
177,mmu04611,Platelet_activation,1.0
178,mmu04612,Antigen_processing_and_presentation,1.0
179,mmu04614,Renin-angiotensin_system,1.0
180,mmu04620,Toll-like_receptor_signaling_pathway,1.0
181,mmu04621,NOD-like_receptor_signaling_pathway,1.0
182,mmu04622,RIG-I-like_receptor_signaling_pathway,1.0
183,mmu04623,Cytosolic_DNA-sensing_pathway,1.0
184,mmu04625,C-type_lectin_receptor_signaling_pathway,1.0
185,mmu04630,JAK-STAT_signaling_pathway,1.0
186,mmu04640,Hematopoietic_cell_lineage,1.0
187,mmu04650,Natural_killer_cell_mediated_cytotoxicity,1.0
188,mmu04657,IL-17_signaling_pathway,1.0
189,mmu04658,Th1_and_Th2_cell_differentiation,1.0
190,mmu04659,Th17_cell_differentiation,1.0
191,mmu04660,T_cell_receptor_signaling_pathway,1.0
192,mmu04662,B_cell_receptor_signaling_pathway,1.0
193,mmu04664,Fc_epsilon_RI_signaling_pathway,1.0
194,mmu04666,Fc_gamma_R-mediated_phagocytosis,1.0
195,mmu04668,TNF_signaling_pathway,1.0
196,mmu04670,Leukocyte_transendothelial_migration,1.0
197,mmu04672,Intestinal_immune_network_for_IgA_production,1.0
198,mmu04710,Circadian_rhythm,1.0
199,mmu04713,Circadian_entrainment,1.0
200,mmu04714,Thermogenesis,1.0
201,mmu04720,Long-term_potentiation,1.0
202,mmu04721,Synaptic_vesicle_cycle,1.0
203,mmu04722,Neurotrophin_signaling_pathway,1.0
204,mmu04723,Retrograde_endocannabinoid_signaling,1.0
205,mmu04724,Glutamatergic_synapse,1.0
206,mmu04725,Cholinergic_synapse,1.0
207,mmu04726,Serotonergic_synapse,1.0
208,mmu04727,GABAergic_synapse,1.0
209,mmu04728,Dopaminergic_synapse,1.0
210,mmu04730,Long-term_depression,0.0
211,mmu04740,Olfactory_transduction,1.0
212,mmu04742,Taste_transduction,1.0
213,mmu04744,Phototransduction,1.0
214,mmu04750,Inflammatory_mediator_regulation_of_TRP_channels,1.0
215,mmu04810,Regulation_of_actin_cytoskeleton,1.0
216,mmu04910,Insulin_signaling_pathway,1.0
217,mmu04911,Insulin_secretion,1.0
218,mmu04912,GnRH_signaling_pathway,1.0
219,mmu04913,Ovarian_steroidogenesis,1.0
220,mmu04914,Progesterone-mediated_oocyte_maturation,1.0
221,mmu04915,Estrogen_signaling_pathway,1.0
222,mmu04916,Melanogenesis,1.0
223,mmu04917,Prolactin_signaling_pathway,1.0
224,mmu04918,Thyroid_hormone_synthesis,1.0
225,mmu04919,Thyroid_hormone_signaling_pathway,1.0
226,mmu04920,Adipocytokine_signaling_pathway,1.0
227,mmu04921,Oxytocin_signaling_pathway,1.0
228,mmu04922,Glucagon_signaling_pathway,1.0
229,mmu04923,Regulation_of_lipolysis_in_adipocytes,1.0
230,mmu04924,Renin_secretion,1.0
231,mmu04925,Aldosterone_synthesis_and_secretion,1.0
232,mmu04926,Relaxin_signaling_pathway,1.0
233,mmu04927,Cortisol_synthesis_and_secretion,1.0
234,mmu04928,"Parathyroid_hormone_synthesis,_secretion_and_action",1.0
235,mmu04929,GnRH_secretion,1.0
236,mmu04930,Type_II_diabetes_mellitus,0.0
237,mmu04931,Insulin_resistance,0.0
238,mmu04932,Non-alcoholic_fatty_liver_disease_(NAFLD),1.0
239,mmu04933,AGE-RAGE_signaling_pathway_in_diabetic_complications,0.0
240,mmu04934,Cushing_syndrome,0.0
241,mmu04935,"Growth_hormone_synthesis,_secretion_and_action",1.0
242,mmu04940,Type_I_diabetes_mellitus,0.0
243,mmu04950,Maturity_onset_diabetes_of_the_young,0.0
244,mmu04960,Aldosterone-regulated_sodium_reabsorption,1.0
245,mmu04961,Endocrine_and_other_factor-regulated_calcium_reabsorption,1.0
246,mmu04962,Vasopressin-regulated_water_reabsorption,1.0
247,mmu04964,Proximal_tubule_bicarbonate_reclamation,1.0
248,mmu04966,Collecting_duct_acid_secretion,1.0
249,mmu04970,Salivary_secretion,1.0
250,mmu04971,Gastric_acid_secretion,1.0
251,mmu04972,Pancreatic_secretion,1.0
252,mmu04973,Carbohydrate_digestion_and_absorption,1.0
253,mmu04974,Protein_digestion_and_absorption,1.0
254,mmu04975,Fat_digestion_and_absorption,1.0
255,mmu04976,Bile_secretion,1.0
256,mmu04977,Vitamin_digestion_and_absorption,1.0
257,mmu04978,Mineral_absorption,1.0
258,mmu04979,Cholesterol_metabolism,1.0
259,mmu05010,Alzheimer_disease,1.0
260,mmu05012,Parkinson_disease,1.0
261,mmu05014,Amyotrophic_lateral_sclerosis_(ALS),0.0
262,mmu05016,Huntington_disease,1.0
263,mmu05017,Spinocerebellar_ataxia,0.0
264,mmu05020,Prion_diseases,1.0
265,mmu05030,Cocaine_addiction,0.0
266,mmu05031,Amphetamine_addiction,0.0
267,mmu05032,Morphine_addiction,0.0
268,mmu05033,Nicotine_addiction,0.0
269,mmu05034,Alcoholism,0.0
270,mmu05100,Bacterial_invasion_of_epithelial_cells,1.0
271,mmu05132,Salmonella_infection,0.0
272,mmu05133,Pertussis,0.0
273,mmu05134,Legionellosis,0.0
274,mmu05135,Yersinia_infection,0.0
275,mmu05140,Leishmaniasis,0.0
276,mmu05142,Chagas_disease_(American_trypanosomiasis),1.0
277,mmu05143,African_trypanosomiasis,0.0
278,mmu05144,Malaria,0.0
279,mmu05145,Toxoplasmosis,0.0
280,mmu05146,Amoebiasis,0.0
281,mmu05150,Staphylococcus_aureus_infection,0.0
282,mmu05152,Tuberculosis,0.0
283,mmu05160,Hepatitis_C,0.0
284,mmu05161,Hepatitis_B,0.0
285,mmu05162,Measles,0.0
286,mmu05163,Human_cytomegalovirus_infection,0.0
287,mmu05164,Influenza_A,0.0
288,mmu05165,Human_papillomavirus_infection,0.0
289,mmu05166,Human_T-cell_leukemia_virus_1_infection,0.0
290,mmu05167,Kaposi_sarcoma-associated_herpesvirus_infection,0.0
291,mmu05168,Herpes_simplex_virus_1_infection,0.0
292,mmu05169,Epstein-Barr_virus_infection,0.0
293,mmu05170,Human_immunodeficiency_virus_1_infection,0.0
294,mmu05200,Pathways_in_cancer,1.0
295,mmu05202,Transcriptional_misregulation_in_cancer,1.0
296,mmu05203,Viral_carcinogenesis,0.0
297,mmu05204,Chemical_carcinogenesis,0.0
298,mmu05205,Proteoglycans_in_cancer,1.0
299,mmu05206,MicroRNAs_in_cancer,1.0
300,mmu05210,Colorectal_cancer,1.0
301,mmu05211,Renal_cell_carcinoma,0.0
302,mmu05212,Pancreatic_cancer,1.0
303,mmu05213,Endometrial_cancer,1.0
304,mmu05214,Glioma,0.0
305,mmu05215,Prostate_cancer,1.0
306,mmu05216,Thyroid_cancer,1.0
307,mmu05217,Basal_cell_carcinoma,0.0
308,mmu05218,Melanoma,0.0
309,mmu05219,Bladder_cancer,1.0
310,mmu05220,Chronic_myeloid_leukemia,0.0
311,mmu05221,Acute_myeloid_leukemia,0.0
312,mmu05222,Small_cell_lung_cancer,1.0
313,mmu05223,Non-small_cell_lung_cancer,1.0
314,mmu05224,Breast_cancer,1.0
315,mmu05225,Hepatocellular_carcinoma,0.0
316,mmu05226,Gastric_cancer,1.0
317,mmu05230,Central_carbon_metabolism_in_cancer,1.0
318,mmu05231,Choline_metabolism_in_cancer,1.0
319,mmu05235,PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer,1.0
320,mmu05310,Asthma,0.0
321,mmu05320,Autoimmune_thyroid_disease,1.0
322,mmu05321,Inflammatory_bowel_disease_(IBD),1.0
323,mmu05322,Systemic_lupus_erythematosus,0.0
324,mmu05323,Rheumatoid_arthritis,0.0
325,mmu05330,Allograft_rejection,0.0
326,mmu05332,Graft-versus-host_disease,1.0
327,mmu05340,Primary_immunodeficiency,0.0
328,mmu05410,Hypertrophic_cardiomyopathy_(HCM),0.0
329,mmu05412,Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC),0.0
330,mmu05414,Dilated_cardiomyopathy_(DCM),0.0
331,mmu05416,Viral_myocarditis,0.0
332,mmu05418,Fluid_shear_stress_and_atherosclerosis,0.0
